City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Nikolskoye,RU,2022-09-15 04:57:13,59.7035,30.7861,51.69,93,91,8.68
193,Nemuro,JP,2022-09-15 04:57:14,43.3236,145.575,64.17,48,99,2.51
194,Yukhnov,RU,2022-09-15 04:57:14,54.7444,35.2297,48.13,95,100,2.37
195,Chimbote,PE,2022-09-15 04:51:28,-9.0853,-78.5783,60.15,89,36,9.19
196,Utiel,ES,2022-09-15 04:57:15,39.5667,-1.2,61.65,66,14,5.32
197,Sao Felix Do Xingu,BR,2022-09-15 04:57:15,-6.6447,-51.995,75.31,59,38,2.08
198,Boshnyakovo,RU,2022-09-15 04:57:16,49.6333,142.1667,58.08,62,11,12.57
199,Kathu,TH,2022-09-15 04:57:16,7.9178,98.3332,87.62,99,59,10.65
200,Luderitz,NA,2022-09-15 04:57:17,-26.6481,15.1594,57.51,73,3,3.31
201,Los Alamos,US,2022-09-15 04:57:17,35.8881,-106.307,60.03,62,100,0.0
202,Sibolga,ID,2022-09-15 04:48:59,1.7427,98.7792,86.41,61,74,5.64
203,Ambilobe,MG,2022-09-15 04:57:18,-13.2,49.05,77.52,41,87,5.84
204,Tura,IN,2022-09-15 04:57:18,25.5198,90.2201,73.65,97,99,6.06
205,Talnakh,RU,2022-09-15 04:57:19,69.4865,88.3972,42.21,88,100,10.49
206,Montevideo,UY,2022-09-15 04:57:19,-34.8335,-56.1674,52.52,86,75,8.01
207,Petropavlovsk-Kamchatskiy,RU,2022-09-15 04:57:19,53.0452,158.6483,52.39,66,75,13.42
208,Xining,CN,2022-09-15 04:57:20,36.6167,101.7667,70.81,47,69,4.25
209,Pinheiro,BR,2022-09-15 04:57:20,-2.5214,-45.0825,72.27,99,8,3.15
210,Norman Wells,CA,2022-09-15 04:53:46,65.282,-126.8329,48.24,81,75,3.44
211,Sterling,US,2022-09-15 04:57:21,39.0062,-77.4286,67.41,88,0,3.0
212,Yangambi,CD,2022-09-15 04:57:21,0.8102,24.4336,68.7,97,91,0.34
213,Laguna,US,2022-09-15 04:57:22,38.421,-121.4238,67.75,73,0,10.36
214,Santa Fe,AR,2022-09-15 04:57:22,-31.6333,-60.7,57.02,68,0,5.01
215,Saint-Joseph,RE,2022-09-15 04:47:41,-21.3667,55.6167,73.78,62,22,10.42
216,Mar Del Plata,AR,2022-09-15 04:50:16,-38.0023,-57.5575,50.95,98,100,11.99
217,Vesoul,FR,2022-09-15 04:57:23,47.5833,5.8333,61.61,99,33,7.36
218,Naze,JP,2022-09-15 04:57:23,28.3667,129.4833,86.92,77,15,15.86
219,Doka,SD,2022-09-15 04:57:23,13.5167,35.7667,71.6,93,100,6.76
220,Bibbiena,IT,2022-09-15 04:57:24,43.6965,11.8135,69.96,99,99,6.15
221,Umba,RU,2022-09-15 04:57:24,66.6871,34.3429,48.94,86,99,11.18
222,Sendafa,ET,2022-09-15 04:57:25,9.15,39.0333,56.55,84,99,1.3
223,Bathsheba,BB,2022-09-15 04:57:25,13.2167,-59.5167,79.41,83,20,5.75
